Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_Meanratio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,9.3,249.8092,OUT049,3735.138,0.7269683398077345,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,5.92,48.2692,OUT018,443.4228,0.4627583410389019,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,17.5,141.618,OUT049,2097.27,1.3679511770575647,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,19.2,182.095,OUT010,732.38,1.500837862828871,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,8.93,8.93,53.8614,OUT013,994.7052,0.698045943492803,26,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,10.395,51.4008,OUT018,556.6088,0.8125629991721934,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,13.65,57.6588,OUT013,343.5528,1.0670019181049006,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,12.792854228644991,12.792854228644991,107.7622,OUT027,4022.7636,1.0000000000000435,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,16.2,96.9726,OUT045,1076.5986,1.26633194676186,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,19.2,187.8214,OUT017,4710.535,1.500837862828871,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,11.8,45.5402,OUT049,1516.0266,0.9223899365302437,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,18.5,144.1102,OUT046,2187.153,1.4461198157465684,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,15.1,145.4786,OUT049,1589.2646,1.180346444203956,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,17.6,119.6782,OUT046,2145.2076,1.3757680409264652,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,16.35,196.4426,OUT013,1977.4260000000002,1.2780572425652106,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,9.0,56.3614,OUT046,1547.3192,0.7035177482010333,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,11.8,115.3492,OUT018,1621.8888,0.9223899365302437,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,9.0,54.3614,OUT049,718.3982,0.7035177482010333,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
